imagen,iou,inference_time_sec,gt_d50,pred_d50,gt_d80,pred_d80,gt_count,pred_count,error_abs_d50
000014_jpg.rf.e4f4352e52f4bbfa6292becd80b19577.jpg,0.802,22.3275,316.22,5035.26,400.69,6854.42,158,257,4719.04
000152_jpg.rf.0e3d88e2a80b53fb1acb179cba910bb3.jpg,0.7324,24.346,311.47,5401.13,375.83,9114.24,157,246,5089.66
000157_jpg.rf.0701ebeed0f271d1f7e195ebbca8d008.jpg,0.8297,23.5959,316.08,4951.16,401.15,6207.01,149,236,4635.08
1706611379582_jpg_rf_15ac1b703cb1ed68e9973e1ca612e10c_1c05498b.jpg,0.1045,11.5454,41.76,1053.51,45.11,1795.45,287,299,1011.75
How-to-make-manufactured-sand-from-crushing-rocks_mp4-0010_jpg.rf.cce690975f7f64cbcc92f66de3b6041e.jpg,0.1332,9.2,49.24,3309.85,73.31,3416.53,42,70,3260.61
How-to-make-manufactured-sand-from-crushing-rocks_mp4-0089_jpg.rf.bf3c315a88a5b760a7019b2c491d06d2.jpg,0.4018,8.577,69.79,962.09,77.87,1247.49,18,61,892.29
How-to-make-manufactured-sand-from-crushing-rocks_mp4-0102_jpg.rf.02d3595b4942157246fb0b402da43d8b.jpg,0.0023,9.6015,16.29,2486.17,17.47,3203.1,6,44,2469.88
How-to-make-manufactured-sand-from-crushing-rocks_mp4-0157_jpg.rf.dbf072477ed81ec807b5fcdf88217231.jpg,0.0393,9.3691,23.36,839.03,26.94,1042.0,15,50,815.67
IMG_0046_JPG_jpg.rf.129e1c91a977d4977f45406d6fc49c42.jpg,0.6939,13.6076,259.43,4303.57,316.83,5834.01,81,179,4044.14
IMG_0047_JPG_jpg.rf.4062253080bae5b7de2fed32e8d6a650.jpg,0.6364,14.1919,236.93,4691.5,295.1,10687.44,79,169,4454.56
IMG_0048_JPG_jpg.rf.f833f960b1d45cece83d2483808fdb3b.jpg,0.7019,15.5932,420.93,6853.04,493.85,8883.73,37,119,6432.12
reforco09_jpeg_jpg.rf.e4b4ce9c796f932f5dab798b61109e2a.jpg,0.7882,11.7045,232.15,3536.33,257.54,5236.75,67,128,3304.18
test-1-_jpg.rf.b5be850bc6fd3791bd50bd0c03cea1ed.jpg,0.7974,10.5942,103.87,1633.92,144.56,2089.91,69,117,1530.05
VID-20240802-WA0018_mp4-0009_jpg.rf.4d27af874b3559edc5a63fb6b87398c4.jpg,0.0265,8.7772,25.65,1969.31,31.55,2379.42,87,19,1943.66
